exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,base_0,base_rnd,base_DSA_RC,cl_60,cl_65,cl_70,cl_75,cl_80,cl_85,cl_90,friendship_w_0,friendship_w_1
127,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
128,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
129,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
130,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
131,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
132,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
133,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
134,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
135,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
136,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
137,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
138,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
139,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
140,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
141,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
142,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
143,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
144,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
145,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
146,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
147,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
148,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
149,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
150,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
151,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
152,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
153,484,0,0,0,7.13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
