exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,base_0,base_rnd,base_DSA_RC,cl_60,cl_65,cl_70,cl_75,cl_80,cl_85,cl_90,friendship_w_0,friendship_w_1,method
110,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
111,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
112,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
113,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
114,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
115,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
116,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
117,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
118,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
119,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
120,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
121,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
122,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
123,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
124,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
125,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
126,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
127,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
128,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
129,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
130,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
131,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
132,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
133,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
134,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
135,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
136,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
137,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
138,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
139,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
140,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
141,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
142,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
143,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
144,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
145,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
146,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
147,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
148,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
149,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
150,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
151,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
152,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
153,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
154,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
155,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
156,484,0,0,0,7.13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,original
157,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
158,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
159,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
160,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
161,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
162,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
163,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
164,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
165,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
166,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
167,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
168,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
169,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
170,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
171,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
172,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
173,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
174,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
175,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
176,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
177,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
178,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
179,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
180,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
181,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
182,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
183,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
184,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
185,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
186,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
187,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
188,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
189,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
190,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
191,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
192,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
193,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
194,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
195,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
196,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
197,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
198,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
199,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
200,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
201,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
202,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
203,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
204,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
205,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
206,494,0,0,0,5.92,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,original
207,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
208,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
209,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
210,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
211,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
212,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
213,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
214,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
215,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
216,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
217,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
218,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
219,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
220,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
221,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
222,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
223,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
224,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
225,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
226,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
227,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
228,504,0,0,0,4.54,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,original
